vk_id,name
tatelkit,Татар электрон китабы
beznenrt,Татарстан Республикасы
turki_tarih_ve_hokuk,Төрки тарих вә хокук
sanaq_ve_elemte,Санак вә элемтә
tiyb_ve_selametlek,Табиб
seyahat,Сәяхәт
fan_ve_hiyalname,Фән вә хыялнамә
muhandis,Мөһәндис
tezuche,Мигъмар
saudeger,Сәүдәгәр
jir_hazinese,Җир хәзинәсе
harbi_esh_ve_yarish,Хәрби эш вә ярыш
hezmat,Хезмәт
club210198967,Служилые татары Йомышлы татарлар
tatar_village,Татар авыллары - Татарские деревни
club174981403,На Горной стороне - Тау ягында
yazuchilar,ТАТАРСТАН ЯЗУЧЫЛАР БЕРЛЕГЕ / СОЮЗ ПИСАТЕЛЕЙ РТ
tatartelenojrenebez,"""Татар теле"" - ата-аналар, тәрбиячеләр өчен."
tatartambour,"Татар (каю,укалап) ЧИГҮЕ. Тамбурн вышивка Татар."
club17610669,ТАТАР ЯШЬЛӘРЕ. ЯШЬЛЕК
tatbookhouse,Татар китабы йорты / Дом татарской книги
tatargenealogy,Генеалогия Нижегородских Татар
rassenkundedertataren,Антропология татар
congresstatar74,Конгресс татар Челябинской области
janarishtymen,"""Яңарыш"" газетасы Төмән"
tatarinformtat,Татар-информ - Татарстан һәм татарлар
congresstatar,Всемирный конгресс татар
